query,poi_name,wikipedia-link,answer
Where can I park near the monument?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,There is a parking garage at 100 Soi Loet Punya.
Where does the boat tour begin and end?,Spree River,https://en.wikipedia.org/wiki/Spree,from spain to mexico
what is the capacity of the boat,Spree River,https://en.wikipedia.org/wiki/Spree,60 people can ride in a your boat on the Spree River. 
Can you tell me the price per person for a boat ride?,Spree River,https://en.wikipedia.org/wiki/Spree,$17.89
How long is the boat ride from Spain to Mexico?,Spree River,https://en.wikipedia.org/wiki/Spree,it will take a considerable amount of time so plan accordingly 
Do they offer food and refreshments on the boat? ,Spree River,https://en.wikipedia.org/wiki/Spree,The boat does offer snacks during the week and delicious buffet on the weekend tours.
Are these government buildings?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,"No, this is the Pergamom Museum."
How old is this building?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Older than you
Where is this building located?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,Berlin
What are the hours the museum is open to the public?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,It is open from 10am to 6pm.
How much does entry to the museum cost?,Pergamom Museum,https://en.wikipedia.org/wiki/Pergamon_Museum,12 euro
Can you swim in the fountain?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"Q1: Can you swim in the fountain? A1: No, Swimming the in the fountain will surely end your trip short by getting arrested.  "
Is there a handicap accessible way to reach that building?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Yes
Where is the handicap access?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,There are ramps on the side of the building.
Where are the public restrooms located?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,there are restrooms at the entrance and throughout the area. 
What kind of plants are growing on the hill?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,Those plants are trellised vines.
Is the building apartments?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,no
What is this place about,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,it was a controlled point for the different parts of Berlin during the cold war. 
Who is the picture of?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,The picture is of a Russian solider. 
"Are the exhibits in English, too?",Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,Yes
Why is there a US Army checkpoint here?,Checkpoint Charlie,https://en.wikipedia.org/wiki/Checkpoint_Charlie,"In response to the East German Government sealing off East Berlin, the Americans built their own checkpoints."
Is this a holocaust memorial?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,Q1: Is this a holocaust memorial? A1: Yes 
When was this memorial built?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"December 15, 2004"
Is there anything inscribed on this memorial?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,The memorial does not have an inscription.
What is the meaning of the shape?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,"According to Eisenman's project text, the stelae are designed to produce an uneasy, confusing atmosphere, and the whole sculpture aims to represent a supposedly ordered system that has lost touch with human reason."
Is there a significance as why this spot was chosen for the memorial?,Jewish Memorial,https://en.wikipedia.org/wiki/Memorial_to_the_Murdered_Jews_of_Europe,It is a clear place where people can admire the memorial without distractions.
What building am I passing by?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,You are passing the Berlin Cathedral.
What type of church is that?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,"The Dom is the parish church of the congregation Gemeinde der Oberpfarr- und Domkirche zu Berlin, a member of the umbrella organisation Evangelical Church of Berlin-Brandenburg-Silesian Upper Lusatia"
What are the hours of service at this church?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,Mass is Saturday 6 p and Sunday at 12 p. 
What architectural style is the church built with?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,It is designed in the neo-baroque style
Am I able to go in the building outside of service times ? ,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,Yes
Is that a museum,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,"No, it is a monument."
Who designed the monument?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,"Designed by Heinrich Strack,"
Is the monument open?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,"A1. It is not a museum. It is Berlin's Siegessäule, the Victory Column monument.  A2. It was designed by Friedrich Drake and was unveiled in 1873 as a monument to Prussia’s victory in the Franco-German war. A3. The monument has a viewing platform at the top which is open to the public for a fee."
Is there a guided tour available on site?,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,Who designed the statue on top of this building?
Yes,Victory Column,https://en.wikipedia.org/wiki/Berlin_Victory_Column,"It was created by Friedrich Drake, and cast by the Aktien-Gesellschaft Gladenbeck foundry."
Is that a courthouse to our right?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,"No, this is the German Church Deutscher Dom (de) actually: Neue Kirche."
Does the church still hold religious services?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,No. It is no longer used for that purpose.
Is any part of the building available to rent for private events?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,"No, it is a public museum only."
What is the entry fee?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,Admission is free
What is inside of the museum?,Berlin Genarmenmarkt,https://en.wikipedia.org/wiki/Gendarmenmarkt,it contains historical religious items and icons.
What is the name of the building on the right with all of the lights on?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Sony Center
Are there retail shops available on this street?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,YES
What is this area of town called. ,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,It is called Potsdamer Platz which is an important public center and traffic intersection in Berlin.  
the plase wich is of an most fames plase whar mostly live in this hotel,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Hotel Esplanade
Is there a city bus that runs on this street?,Potsdamer Platz,https://en.wikipedia.org/wiki/Potsdamer_Platz,Yes there is 
How often does the bus run?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,The bus travels in six-minute intervals between Tegel Airport via Main Station (Hauptbahnhof) to Alexanderplatz.
Are there any historical stops between the airport and the main station?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,There are numerous historical sites that you can see.
Which historical sites do you recommend I should visit?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,I recommend the Berliner Medizinhistorisches Museum.
When was this bus system started?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,2004
Are there any vacation apartment rentals near this part of town?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,Yes there are 9 vacation apartment rental agencies nearby.
Can I park in front of the building,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","No, there is limited parking around the museum"
How much is admission for children?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",Free for children under the age of 6.
Is there ever free admission for students?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin","Yes, free admission is offered for welcome classes."
how much is the price for admission for adults?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",The price of admission for an adult is 8 euros
when was the museum built?,Jewish Museum,"https://en.wikipedia.org/wiki/Jewish_Museum,_Berlin",2001
Do you have to pay admission to visit? ,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,Yes you have to pay admission to visit.
How much does it cost to get in?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,"Adult tickets cost €15,50 for the zoo and €21 for the zoo + aquarium. The children's prices for the same are €8 and €10,50."
Are there any restaurants available inside?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,yes
How long should one allow for a visit to this zoo?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,typically around 5 hours
Are there stroller or wheelchair rentals available at this zoo?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,Yes but must register in their website. 
How much does it cost to ride that boat?,Spree River,https://en.wikipedia.org/wiki/Spree,Most boat rides on the Spree River cost between 15.50 to 23.00 Euro for adults.
How long is the boat ride?,Spree River,https://en.wikipedia.org/wiki/Spree,The length varies depending upon start and end point.
How long is the walking trail alongside the river?,Spree River,https://en.wikipedia.org/wiki/Spree,2 miles
do you have a listing of the various start and end points?,Spree River,https://en.wikipedia.org/wiki/Spree,"Yes, here you are, you can see it."
What is the building to the right of the boat ? ,Spree River,https://en.wikipedia.org/wiki/Spree,It's the Bundeskanzleramt -- the German Chancellory.
Is the transportation around here mostly by bus?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,Yes
How much does the tram cost?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,3.00$
Does the tram run 24 hours a day?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,The tram runs 24 hours a day on weekends only.
Dose the tram take you to other cities or is it just local?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,It is local and does not go to other cities
Do they offer an all day or all week pass?,Alexanderplatz,https://en.wikipedia.org/wiki/Alexanderplatz,"The tram offers a daily, weekly, and monthly pass."
What is this building?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,An old rundown office building 
What year was it built?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,1963 
Is any part of the building accessible to the public at this time?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,No
Is there a historical marker here?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg,"created in the 20 years following the Second World War by moving approximately 75,000,000 m3 "
What type of business was transacted here?,Teufelsberg,https://en.wikipedia.org/wiki/Teufelsberg," The hill is made of rubble, and covers an under-construction Nazi military-technical college (Wehrtechnische Fakultät. It was never completed."
What hours is this building open for visitors?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),April 1 through October 31: 9am - 5pm  November 1 through March 31: 9am - 4pm  Closed on Fridays
Can I have my wedding here?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),"Yes, various spaces in the palace are available for private events."
Are there art exhibits in this building?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),YES
What kind of special art displays do they have at the moment?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),"Part of the design of the Groto Hall is a marble floor depicting marine animals and plants and an 1806 ceiling painting, Venus and Amor, the Three Graces and Putti. the Marble Hall, The painting in the center of this ceiling, The Induction of Ganymede in Olympus, was created in 1769 by Charles-Amédée-Philippe van Loo. Four enormous paintings commissioned before the Seven Years' War adorn the marble walls of the hall. Positioned at the pilasters are twelve statues, depicting eight Brandenburg Prince-electors and four famous ""emperors"": Julius Caesar, Constantine, Charlemagne and Rudolph II In the Upper Gallery, Six large Italian Baroque paintings hang opposite the windows of the gallery. "
What is the square footage of the Palace?,New Palace,https://en.wikipedia.org/wiki/New_Palace_(Potsdam),I am unsure of the square footage of the Palace but can look it up for you.
How much is the admission price,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,"15,50 €"
What time does this close?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,It is open 24/7
How many animals are there here?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,"There are around 15,000 animals at the Berlin zoo."
What are some of the more popular animal exhibits at the zoo?,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,Polar bear Knut was born in captivity at the zoo on 5 December 2006. 
Are there real elephants here? ,Berlin Zoo entrance,https://en.wikipedia.org/wiki/Berlin_Zoological_Garden,Yes it does.
Who are the people in the picture kissing? ,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,Leonid Brezhnev and Erich Honecker
Who painted the mural?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,A famous artist
Why is their a fence protecting the wall?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,To protect the wall from people who want to tamper with it
Is this the Berlin wall?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,it is what is now replacing what was the official Berlin wall
What's the name of the famous artist who painted the picture?,Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall,NICKOLUSE
Is that a church?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,Yes.
Is this church open to the public today?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,Yes It is open today from 9am until 7pm.
How old is this historical church?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,This church was built in 1905 and it is 113 years old.
How tall is the dome?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,"I am uncertain of the height of the dome, but will look it up for you."
are there any days which the church can't be accessed by the public?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,"No, the church is available on all days."
Is this building historical?,German Parliament,https://en.wikipedia.org/wiki/Reichstag_building,Yes
Is there an admission cost to go here?,German Parliament,https://en.wikipedia.org/wiki/Reichstag_building,"No, the services offered by the Visitors' Service of the German Bundestag are free of charge."
How is this building maintained for?,German Parliament,https://en.wikipedia.org/wiki/Reichstag_building,Taxes of the people 
What are the tour hours?,German Parliament,https://en.wikipedia.org/wiki/Reichstag_building,"Depends which tour you choose, there are several different types. First tour is typically at 8am ."
Was this built to be a private residence? ,German Parliament,https://en.wikipedia.org/wiki/Reichstag_building,No there are no private bedrooms available in this building.
Where is the parking area?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,The parking is 5 miles away. 
What is growing on the terraces?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"They were originally for growing wine, now its many different plants"
Do you have transportation from the parking lot to the building?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"No, you must walk. "
How far is it from parking lot?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,About a mile and a half
Can people go inside the building?,Sanssouci Palace,https://en.wikipedia.org/wiki/Sanssouci,"Yes, they offer tours."
What is the significance of this building?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,"The royally appointed commission, which was responsible for the conception of the museum, decided to display only ""High Art"" in the proposed building which included Old Master paintings and prints and drawings on the upper floor, as well as Classical sculpture from ancient Greece and Rome on the ground floor. This precluded the incorporation of ethnography, prehistory and the excavated treasures of the ancient Near East from Assyria and Persia (and elsewhere); instead, these artifacts were primarily housed in Schloss Monbijou.  With the completion of the Neues Museum (New Museum) by Friedrich August Stüler in 1855, Museum Island began to take form. This was followed by the Nationalgalerie (now the Alte Nationalgalerie) by Johann Heinrich Strack (1876), the Kaiser-Friedrich-Museum (now the Bodemuseum) by Ernst von Ihne after plans by Stüler (1904), and the Pergamonmuseum by Alfred Messel and Ludwig Hoffmann (1930). Thus Museum Island evolved into the institution it is today.[1]  Julius Carl Raschdorff's 1894–1905 reconstruction of the Berliner Dom into a neo-Renaissance cathedral (replacing the classical cathedral designed by Schinkel) severely disrupted the classical ensemble, especially since the new cathedral has significantly larger dimensions than its predecessor.  During National Socialism, the Altes Museum was used as the backdrop for propaganda, both in the museum itself and upon the parade grounds of the redesigned Lustgarten. Just before the end of Second World War, the museum was badly damaged when a tank truck exploded in front of the museum, and the frescoes designed by Schinkel and Peter Cornelius, which adorned the vestibule and the back wall of the portico, were largely lost.[2]  Under General Director Ludwig Justi, the building was the first museum of Museum Island to undergo reconstruction and restoration, which was carried out from 1951 to 1966 by Hans Erich Bogatzky and Theodor Voissen. Following Schinkel's designs, the murals of the rotunda were restored in 1982. However, neither the ornate ceilings of the ground floor exhibition rooms nor the pairs of columns under the girders were reconstructed. The former connection to the Neues Museum has also not been rebuilt; instead, an underground passageway connecting all of the museums of Museum Island is planned as part of the Museumsinsel 2015 renovations.[1]"
What are the statues of?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,horse
When was this built?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,The museum building was built between 1823 and 1830 by the architect Karl Friedrich Schinkel in the neoclassical style to house the Prussian royal family's art collection.
Why is the horse the statue they used?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,"The statue is named ""Löwenkämpfer,"" meaning ""The Lion Fighter."""
What is written on the front of the building?,Altes Museum,https://en.wikipedia.org/wiki/Altes_Museum,FRIDERICVS GVILHELMVS III. STVDIO ANTIQVITATIS OMNIGENAE ET ARTIVM LIBERALIVM MVSEVM CONSTITVIT MDCCCXXVIII
Is this a synagogue open to the general public?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,Yes
What are their opening hours?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,9am-7pm
Are there any special rules I need to follow when going in there?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,For males a head-covering shul must be worn at all times and smoking is not allowed.
Are they any special rules for women regarding a head covering?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,no
Q5: When was the synagogue built?,Berlin Cathedral,https://en.wikipedia.org/wiki/Berlin_Cathedral,It was finished in 1905.
Is this a good place to meet people?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,There are many events that happen here. It has hosted street events at 2009 IAAF World Championships in Athletics and will repeat its role in 2018 European Athletics Championships. It is also the usual finish line of the Berlin Marathon.
What year was this built?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,1957
What is the building in front of me,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,"A1. It is an iconic location with a large pedestrianised area so makes a good place to meet people. A2. Building work started on the Brandenburg gate in 1788 and was completed in 1791. A3. It is The Brandenburg Gate in Berlin, Germany. "
Who designed the Brandenburg Gate?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,It was designed by Carl Gotthard Langhans.
What is it made of?,Brandenburg Gate,https://en.wikipedia.org/wiki/Brandenburg_Gate,It is made of sandstone.
Is that a basilica behind the hotel?,Radisson Blu,https://en.wikipedia.org/wiki/Radisson_Blu,It is Berliner Dom
